Stimulus ID, ImageArea,TextGroup,NonTextArea,TextArea,QuadTree,Saturation,Colorfulness2,Colorfulness1,Complexity,Phase 2 Response,Phase 1 Response,Final Score,,,Phase 2 Response,Phase 1 Response,,,,,,,
35,7,41,319829,215383,8446,181.2482487,163.8624105,86.41531806,9.612284418,3.829457364,3.930232558,3.879844961,,,,,,,,,,,
36,13,22,111325,137927,3052,31.6459516,9.486821612,66.43980738,6.960107281,5.719298246,5.850877193,5.785087719,,,,,,,,,,,
37,1,2,1948884,22452,1126,76.83061012,13.28522872,97.70102676,11.81300115,5.516666667,5.358333333,5.4375,,,,,,,,,,,
38,1,2,664432,18151,2902,35.1913125,12.44416191,69.85982263,5.139204148,5.917355372,6.256198347,6.08677686,,,,,,,,,,,
39,46,30,466397,103900,16690,25.32485388,11.2062142,46.70669101,14.56420854,4.088709677,4.403225806,4.245967742,,,,,,,,,,,
40,17,9,464183,91566,7420,56.64338675,3.047043414,17.47277223,6.602761457,6.099173554,5.760330579,5.929752066,,,,,,,,,,,
41,18,9,482428,29834,2434,62.61966486,85.30996283,77.78942457,6.22637091,3.762711864,4.042372881,3.902542373,,,,,,,,,,,
42,6,4,1450282,46357,2401,31.71911685,11.46198361,44.91304816,9.658765135,5.4140625,5.4765625,5.4453125,,,,,,,,,,,
43,30,29,330041,231143,2863,19.03769123,16.62430168,51.87919076,9.947472479,6.184210526,6.368421053,6.276315789,,,,,,,,,,,
44,0,0,1020816,0,160,31.00007445,72.94399474,51.18048045,6.32616083,5.635416667,5.9375,5.786458333,,,,,,,,,,,
45,3,4,792604,47089,1141,22.56449587,6.005372396,35.00794651,5.997653102,2.632478632,2.837606838,2.735042735,,,,,,,,,,,
46,48,12,1788355,111578,13051,20.9926,17.69860049,46.8582155,15.41849562,6.198275862,6.379310345,6.288793103,,,,,,,,,,,
47,9,7,442920,75282,6136,72.79327714,18.45944745,63.15455474,5.738024914,3.9921875,4.1640625,4.078125,,,,,,,,,,,
48,4,1,966948,31108,5320,49.19667518,9.259586521,56.13481093,6.950450502,3.472,3.544,3.508,,,,,,,,,,,
49,1,0,1223320,0,20731,69.09267292,6.619807214,46.01231407,7.42191588,5.946902655,6.159292035,6.053097345,,,,,,,,,,,
50,4,16,251490,47097,841,46.07636154,10.16129512,57.05110431,4.643415737,6.11,6.29,6.2,,,,,,,,,,,
51,1,3,573648,28217,4,25.43268229,15.66519326,55.48326905,4.666108322,3.398148148,3.740740741,3.569444444,,,,,,,,,,,
52,4,19,941990,73680,9313,103.9117621,16.76835526,89.41028689,9.428793193,5.075471698,5.20754717,5.141509434,,,,,,,,,,,
53,5,17,1399204,322325,55,15.73470971,13.5668607,15.85510522,13.76123753,5.346153846,5.528846154,5.4375,,,,,,,,,,,
54,2,16,541399,77821,646,55.49161535,6.930892211,97.89938903,6.573104112,4.637931034,4.689655172,4.663793103,,,,,,,,,,,
55,21,21,1558172,92378,1837,75.13967805,6.782371681,76.61556023,13.40000861,5.991452991,5.88034188,5.935897436,,,,,,,,,,,
56,6,7,255764,72885,1468,60.87909448,22.75221363,45.55579783,4.422407685,4.791304348,5.12173913,4.956521739,,,,,,,,,,,
57,1,0,740000,0,688,156.93054,19.75350394,174.8860985,6.511837283,5.619469027,5.592920354,5.60619469,,,,,,,,,,,
58,0,0,880000,0,46,26.85538409,0.868121278,79.3465657,5.737524586,5.015748031,5.212598425,5.114173228,,,,,,,,,,,
59,1,2,801240,5748,3823,42.45562294,3.547901605,62.62020687,5.674955089,6.062015504,6.124031008,6.093023256,,,,,,,,,,,
60,1,0,779526,0,5479,52.89893019,23.00208071,59.55118031,5.313184648,5.220338983,5.177966102,5.199152542,,,,,,,,,,,
62,3,8,997448,117736,4783,83.48025213,16.36547911,88.57077574,9.129944432,6.39047619,6.561904762,6.476190476,,,,,,,,,,,
63,1,3,968484,33608,55,25.71281491,26.07882513,49.12312871,6.894748129,5.193277311,5.075630252,5.134453782,,,,,,,,,,,
64,27,18,181196,352690,6469,20.32115062,3.579142288,47.61304426,10.63054407,3.737288136,4.220338983,3.978813559,,,,,,,,,,,
65,13,8,442246,42538,1663,54.00661296,82.43598665,69.4788844,5.753173745,3.533333333,3.725,3.629166667,,,,,,,,,,,
66,10,11,937556,72368,6301,30.83257464,20.12122027,62.13648346,8.351263077,4.555555556,4.522222222,4.538888889,,,,,,,,,,,
67,26,24,531819,698769,17857,96.48594667,20.24531214,86.18174578,17.90459716,3.341666667,3.716666667,3.529166667,,,,,,,,,,,
69,27,35,201223,276155,1756,53.74329496,20.48605385,24.24146085,10.43782325,4.642857143,4.785714286,4.714285714,,,,,,,,,,,
70,1,1,911424,9438,2113,91.26001276,37.06715718,95.40083615,6.441042678,2.975,3.241666667,3.108333333,,,,,,,,,,,
71,24,7,430156,16852,3109,21.82867243,21.97103922,42.86910838,5.471304691,4.29,4.57,4.43,,,,,,,,,,,
72,3,2,1512630,44170,16606,43.89672291,19.93962565,66.59021298,9.702186358,5.376068376,5.564102564,5.47008547,,,,,,,,,,,
73,5,1,2338474,4059,24118,201.9536772,7.036338465,147.4225649,14.35799728,5.462121212,5.666666667,5.564393939,,,,,,,,,,,
74,13,36,72059,167023,691,55.39054132,36.77463525,52.41485853,7.837774157,5.31,5.14,5.225,,,,,,,,,,,
75,26,20,338004,130179,3031,23.29200396,16.94246515,26.23733287,8.031451333,5.81512605,5.974789916,5.894957983,,,,,,,,,,,
76,0,0,2118875,0,15637,58.660366,9.004846007,47.04255886,11.39519098,5.398230088,5.530973451,5.46460177,,,,,,,,,,,
77,21,14,651249,18087,4114,56.99856623,15.44116441,75.60069673,7.326666795,4.923076923,5.222222222,5.072649573,,,,,,,,,,,
78,0,0,960000,0,4159,158.4074104,95.36660894,143.2816299,7.089250169,5.478991597,5.680672269,5.579831933,,,,,,,,,,,
79,15,13,213341,365325,16,14.82963263,5.633785089,44.22779683,9.361098995,4.606299213,4.818897638,4.712598425,,,,,,,,,,,
80,8,26,276864,139807,16,14.52319309,10.0478866,18.93833363,6.665756595,4.558333333,4.583333333,4.570833333,,,,,,,,,,,
81,8,21,158620,120213,1399,13.69950003,10.40133622,35.07173153,5.569207266,5.294117647,5.344537815,5.319327731,,,,,,,,,,,
82,1,0,643146,0,5095,57.36724607,26.65107248,91.9150404,5.097287536,6.412371134,6.474226804,6.443298969,,,,,,,,,,,
83,7,7,1057089,113878,20194,80.29809864,15.99203232,84.53916485,9.51596464,5.172131148,5.467213115,5.319672131,,,,,,,,,,,
84,6,8,272851,86861,6874,25.04909632,12.81943046,48.21639624,4.790385031,5.301587302,5.5,5.400793651,,,,,,,,,,,
85,5,6,609508,35847,940,11.34537009,18.36536057,39.8666028,5.580845331,4.047619048,4.412698413,4.23015873,,,,,,,,,,,
86,7,12,174684,121396,2767,7.561414583,3.951927708,17.2447816,5.029822451,4.929824561,4.947368421,4.938596491,,,,,,,,,,,
87,10,28,671943,122192,16,18.66403348,3.826118099,43.29824595,8.483934197,5.12195122,5.276422764,5.199186992,,,,,,,,,,,
88,25,24,337546,214526,5797,16.05746966,10.55697716,48.60786555,9.416804662,5.540983607,5.950819672,5.745901639,,,,,,,,,,,
89,10,18,338554,319621,2635,12.85630714,9.786033458,40.02981337,9.273960075,4.590909091,4.809090909,4.7,,,,,,,,,,,
90,22,22,568686,189006,2008,13.24427791,10.17692525,41.59217008,9.653082392,5.386554622,5.680672269,5.533613445,,,,,,,,,,,
